short_name;character;unicode;styles;keyword;categories
chess-rook;;f447;regular;chess-rook;
chess-rook-alt;;f448;regular;chess-rook-alt;
chevron-circle-down;;f13a;regular;chevron-circle-down;
chevron-circle-left;;f137;regular;chevron-circle-left;
chevron-circle-right;;f138;regular;chevron-circle-right;
chevron-circle-up;;f139;regular;chevron-circle-up;
chevron-double-down;;f322;regular;chevron-double-down;
chevron-double-left;;f323;regular;chevron-double-left;
chevron-double-right;;f324;regular;chevron-double-right;
chevron-double-up;;f325;regular;chevron-double-up;
chevron-down;;f078;regular;chevron-down;
chevron-left;;f053;regular;chevron-left;
chevron-right;;f054;regular;chevron-right;
chevron-square-down;;f329;regular;chevron-square-down;
chevron-square-left;;f32a;regular;chevron-square-left;
chevron-square-right;;f32b;regular;chevron-square-right;
chevron-square-up;;f32c;regular;chevron-square-up;
chevron-up;;f077;regular;chevron-up;
child;;f1ae;regular;child;
chimney;;f78b;regular;chimney;
church;;f51d;regular;church;
circle;;f111;regular;circle;
circle-notch;;f1ce;regular;circle-notch;
city;;f64f;regular;city;
clarinet;;f8ad;regular;clarinet;
claw-marks;;f6c2;regular;claw-marks;
clinic-medical;;f7f2;regular;clinic-medical;
clipboard;;f328;regular;clipboard;
clipboard-check;;f46c;regular;clipboard-check;
clipboard-list;;f46d;regular;clipboard-list;
clipboard-list-check;;f737;regular;clipboard-list-check;
clipboard-prescription;;f5e8;regular;clipboard-prescription;
clipboard-user;;f7f3;regular;clipboard-user;
clock;;f017;regular;clock;
clone;;f24d;regular;clone;
closed-captioning;;f20a;regular;closed-captioning;
cloud;;f0c2;regular;cloud;
cloud-download;;f0ed;regular;cloud-download;
cloud-download-alt;;f381;regular;cloud-download-alt;
cloud-drizzle;;f738;regular;cloud-drizzle;
cloud-hail;;f739;regular;cloud-hail;
cloud-hail-mixed;;f73a;regular;cloud-hail-mixed;
cloud-meatball;;f73b;regular;cloud-meatball;
cloud-moon;;f6c3;regular;cloud-moon;
cloud-moon-rain;;f73c;regular;cloud-moon-rain;
cloud-music;;f8ae;regular;cloud-music;
cloud-rain;;f73d;regular;cloud-rain;
cloud-rainbow;;f73e;regular;cloud-rainbow;
cloud-showers;;f73f;regular;cloud-showers;
cloud-showers-heavy;;f740;regular;cloud-showers-heavy;
cloud-sleet;;f741;regular;cloud-sleet;
cloud-snow;;f742;regular;cloud-snow;
cloud-sun;;f6c4;regular;cloud-sun;
cloud-sun-rain;;f743;regular;cloud-sun-rain;
cloud-upload;;f0ee;regular;cloud-upload;
cloud-upload-alt;;f382;regular;cloud-upload-alt;
clouds;;f744;regular;clouds;
clouds-moon;;f745;regular;clouds-moon;
clouds-sun;;f746;regular;clouds-sun;
club;;f327;regular;club;
cocktail;;f561;regular;cocktail;
code;;f121;regular;code;
code-branch;;f126;regular;code-branch;
code-commit;;f386;regular;code-commit;
code-merge;;f387;regular;code-merge;
coffee;;f0f4;regular;coffee;
coffee-pot;;e002;regular;coffee-pot;
